Recipe_id,Calories,servings,Recipe_title,Region,Sub_region,Continent,"Carbohydrate, by difference (g)",Energy (kcal),Protein (g),Total lipid (fat) (g),vegan,pescetarian,lacto_vegetarian,"Alcohol, ethyl (g)",Ash (g),Beta-sitosterol (mg),Betaine (mg),"Calcium, Ca (mg)",Campesterol (mg),"Carotene, alpha (g)","Carotene, beta (g)",Cholesterol (mg),"Choline, total (mg)","Copper, Cu (mg)","Cryptoxanthin, beta (g)",Dihydrophylloquinone (g),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)","Fatty acids, total saturated (g)","Fatty acids, total trans (g)","Fiber, total dietary (g)","Fluoride, F (g)","Folate, DFE (g)","Folate, food (g)","Folate, total (g)",Folic acid (g),Fructose (g),Galactose (g),Glucose (dextrose) (g),Hydroxyproline (g),"Iron, Fe (mg)",Lactose (g),Lutein + zeaxanthin (g),Lycopene (g),"Magnesium, Mg (mg)",Maltose (g),"Manganese, Mn (mg)",Menaquinone-4 (g),Niacin (mg),Pantothenic acid (mg),"Phosphorus, P (mg)",Phytosterols (mg),"Potassium, K (mg)",Retinol (g),Riboflavin (mg),"Selenium, Se (g)","Sodium, Na (mg)",Starch (g),Stigmasterol (mg),Sucrose (g),"Sugars, total (g)",Thiamin (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (g)",Vitamin B-12 (g),"Vitamin B-12, added (g)",Vitamin B-6 (mg),"Vitamin C, total ascorbic acid (mg)",Vitamin D (D2 + D3) (g),Vitamin D (IU),Vitamin D3 (cholecalciferol) (g),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added (mg)",Vitamin K (phylloquinone) (g),Water (g),"Zinc, Zn (mg)",Recipe_title
2610,196.0,4,Egyptian Lentil Soup,Middle Eastern,Egyptian,African,146.7606,805.6975,49.554,5.6564,,,,0.0,8.323,90.24,0.6844,290.707,11.52,4450.698,10708.869,0.0,19.4853,2.7285,0.2875,0.0,1.6476,2.5317,0.9002,0.0,26.6826,5.2593,430.2755,430.2755,430.2755,0.0,1.6096,0.0017,2.137,0.0,17.896,0.0,356.437,1.51,171.6835,0.0,4.0639,0.0,4.5088,1.1913,672.5555,124.061,1938.561,0.0,0.3269,2.5747,128.2635,93.2608,7.68,5.2884,9.2571,1.1486,21557.1505,1077.5585,0.0,0.0,1.2042,20.1579,0.0,0.0,0.0,1.0203,0.0,19.4893,908.8117,7.7139,Egyptian Lentil Soup
2611,80.0,4,Egyptian Green Beans with Carrots,Middle Eastern,Egyptian,African,39.3312,386.767,15.5638,19.7239,,,,0.0,4.5639,0.0,0.278,73.195,0.0,9.28,290.12,14.4,67.0492,0.4543,0.0,0.0,4.39,1.3338,12.7285,0.0,4.128,1.65,56.52,56.52,56.52,0.0,3.807,0.0,4.795,0.0,2.4485,0.0,11.76,9204.48,50.285,0.0896,0.5304,0.0,8.809,0.2657,209.73,35.65,1077.135,4.8,0.505,13.858,712.39,0.0704,0.0,1.581,17.9016,0.2692,505.94,29.12,0.0,0.0,0.6172,21.045,0.0,0.0,0.0,2.073,0.0,8.6692,603.0612,1.2356,Egyptian Green Beans with Carrots
2612,339.0,4,Egyptian Bamia,Middle Eastern,Egyptian,African,34.0004,1762.7662,82.9034,146.8971,,,,0.0,6.3193,0.0,0.204,338.2219,0.0,0.0,606.0455,275.7206,42.1302,0.6786,0.0,0.0,64.3061,9.3512,44.8202,4.2985,8.8833,1.65,454.5606,454.5606,454.5606,0.0,1.935,0.0,2.955,0.0,7.0043,0.0,1393.5758,0.0,229.6281,0.0,2.7383,0.0,21.8833,3.0211,842.4106,141.84,2092.5671,58.7601,0.8852,16.0373,287.357,0.0,0.0,1.485,14.91,0.9038,1209.4563,110.5783,8.9496,0.0,0.7439,46.797,0.452,13.56,0.452,10.4014,0.0,175.3201,1151.3867,16.064,Egyptian Bamia
2613,409.0,3,Magpie's Easy Falafel Cakes,Middle Eastern,Egyptian,African,225.1172,1686.8298,67.8589,62.4829,0.0,0.0,1.0,0.0,9.9426,0.0,4.06,324.1933,0.0,19.215,186.6187,46.6583,324.769,2.1257,0.7667,0.0,28.3622,12.3317,13.841,0.6103,40.6337,0.385,1690.0224,1689.9099,1689.9849,0.075,0.4515,0.0,0.6895,0.0,16.1587,2.6169,429.0697,0.0,304.1218,0.0019,64.401,4.6,6.0665,5.3763,942.3324,67.5885,2501.4608,95.7667,0.8696,10.2715,133.0312,0.0,0.0,0.3495,36.5519,1.6222,648.9446,111.8362,0.1741,0.0,1.9293,19.5802,0.0375,1.5375,0.0375,6.8426,0.0,44.9732,123.2322,9.5153,Magpie's Easy Falafel Cakes
2614,45.0,24,Dukkah,Middle Eastern,Egyptian,African,83.0609,1006.238,26.18,73.1713,1.0,1.0,0.0,0.0,8.744,0.0,1.2282,747.754,0.0,1.656,134.22,0.0,4.5234,2.3266,3.45,0.0,24.8972,25.953,8.5417,0.0,20.1014,4.7196,121.146,121.146,121.146,0.0,0.0317,0.0207,0.0331,0.0,13.9472,0.0,116.412,2.76,215.718,0.0,4.0983,0.0,8.0302,1.0259,1024.984,25.456,1021.462,0.0,0.705,3.9202,222.42,0.0,0.0,0.0028,32.3583,1.6538,308.286,15.006,0.0,0.0,0.2712,323.024,0.0,0.0,0.0,0.5431,0.0,23.2386,123.8927,6.7782,Dukkah
2615,934.0,8,Om Ali,Middle Eastern,Egyptian,African,543.3028,4117.4667,46.5988,212.1542,0.0,0.0,0.0,0.0,12.9732,0.0,5.856,1270.67,0.0,0.0,113.6,165.4,195.4123,1.4231,0.0,0.0,42.4597,74.1605,66.6415,0.7416,18.9307,1.8,294.6567,90.1233,210.07,119.9467,0.0,0.0,0.0,0.0,7.802,51.04,82.5067,0.0,244.0833,0.0,1.7608,9.76,9.8793,4.4085,1314.3633,229.44,3055.9933,981.0267,2.6956,70.903,800.6867,0.0,0.0,249.5,466.7875,1.0123,3462.9067,994.3867,6.4987,2.0107,1.6418,488.3493,3.2533,110.7067,3.2533,2.7476,0.0,29.6983,1134.3373,7.1989,Om Ali
2616,299.0,4,Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk),Middle Eastern,Egyptian,African,81.2955,1043.9806,68.5817,52.6077,0.0,0.0,0.0,0.0,23.8699,11.1375,0.3538,451.585,1.6875,0.0,15.6894,32.18,172.5118,2.3701,1.22,0.0,14.2772,23.9386,11.4785,0.0711,12.3093,23.92,331.4826,243.8388,295.4076,51.5688,4.474,0.0,6.9495,0.0,8.68,0.0,18.1344,0.0,172.8993,0.0,4.5882,0.0,27.0918,4.987,1561.9994,48.0,2832.1307,45.9,1.0291,67.2955,6364.76,0.1207,0.0,4.6753,27.5168,0.7646,193.0769,46.4344,2.645,0.0,1.0785,36.896,0.17,3.4,0.17,17.4737,0.0,7.5859,1393.7159,7.415,Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk)
2617,528.0,4,Couscous with Olives and Sun-Dried Tomato,Middle Eastern,Egyptian,African,87.679,1469.8658,23.6185,120.2423,,,,0.0,10.6476,89.1,0.3503,177.5868,13.5,1190.0422,2649.2056,3.075,90.4202,1.5177,12.5759,0.462,63.8734,32.7348,14.0295,0.0686,12.8934,0.0492,105.4094,105.4094,150.2894,0.0,0.47,0.0002,0.4502,0.0,9.3512,0.0,196.3926,1132.0038,236.1508,0.1914,7.619,0.0,7.408,1.7504,630.8121,157.3072,1592.9554,0.0,0.4016,17.2045,1843.8588,13.7164,0.0,2.5004,21.3605,0.6845,5414.1463,268.6888,0.0,0.0,0.9688,22.9265,0.0,0.0,0.0,16.8703,0.0,87.7233,734.8841,7.3315,Couscous with Olives and Sun-Dried Tomato
2618,101.0,6,Fava Bean Breakfast Spread,Middle Eastern,Egyptian,African,158.2643,1065.3316,63.0252,24.9374,,,,0.0,8.9796,0.0,0.3522,328.4477,0.0,183.82,1665.356,0.0,242.3968,2.0693,2.44,0.0,15.8746,3.8178,3.5577,0.0,61.8544,5.836,1042.2844,1042.2844,1042.2844,0.0,5.0994,0.0,5.8339,0.0,18.3597,0.0,1082.568,4682.86,485.6501,0.0,4.159,0.0,7.9726,2.6813,1058.0156,361.0311,3222.3263,0.0,0.8547,19.376,57.2784,0.0,0.0,1.7473,25.6772,1.4251,2932.1804,147.6806,0.0,0.0,1.1994,82.9011,0.0,0.0,0.0,4.305,0.0,293.5218,400.019,7.9177,Fava Bean Breakfast Spread
2619,498.0,8,Koshary,Middle Eastern,Egyptian,African,244.3117,1814.1703,87.4819,58.2962,0.0,0.0,0.0,0.0,16.0453,0.0,0.1005,353.2085,0.0,210.4948,1455.2441,21.6,396.1693,2.9225,112.536,0.0,23.3123,19.5155,8.4529,0.0,43.9672,0.0,1747.4358,1749.1758,1749.1758,0.0,1.2876,0.0,1.827,0.0,18.0517,0.0,250.17,0.0,332.0571,0.0,64.7465,0.0,18.6018,6.4182,1203.5199,32.871,3774.6177,7.2,1.5028,18.8821,1167.7005,0.0,0.0,0.7047,54.5543,2.114,2728.2083,141.1323,0.0,0.0,2.6243,83.0892,0.0,0.0,0.0,6.8082,0.0,84.257,1069.6487,10.6534,Koshary
